fruit,season_start,season_end
洋蔥,2021-03-11,2021-04-30
香蕉,2020-06-09,2021-06-08
鳳梨,2021-03-01,2021-06-08
蒜頭,2021-03-01,2021-06-08
青梅,2021-04-01,2021-05-23
木瓜,2021-06-01,2021-06-08
柳橙,2020-11-03,2021-01-31
椪柑,2020-10-17,2020-12-31
蓮霧,2020-12-01,2021-02-27
棗子,2021-01-01,2021-02-28
新興梨,2020-07-01,2020-08-31
檸檬,2020-07-01,2020-09-30
芒果,2021-06-01,2021-06-08
豐水梨,2021-06-08,2021-06-08
番石榴,2020-06-09,2021-06-08
文旦,2020-09-04,2020-09-30
甜柿,2020-10-01,2020-12-31
桶柑,2021-01-01,2021-02-27
紅龍果,2021-06-01,2021-06-08
甘藍,2020-11-03,2021-03-31
結球白菜,2020-11-03,2021-03-31
茂谷柑,2021-02-01,2021-02-27
西瓜,2020-04-28,2020-05-28
