時間,洋蔥,香蕉,鳳梨,蒜頭,青梅,木瓜,柳橙,椪柑,蓮霧,棗子,新興梨,檸檬,芒果,水梨,番石榴,文旦,甜柿,桶柑,紅龍果,甘藍,結球白菜,茂谷柑,西瓜
2012-01-01,-,13,-,-,-,-,12.33,17.25,49.33,53.75,-,-,-,-,-,-,-,42,-,-,-,-,-
2012-01-02,-,12.67,-,-,-,-,11,17.92,51.5,55,-,-,-,-,-,-,-,42,-,-,-,-,-
2012-01-03,-,12.83,-,-,-,-,11.42,18.08,51,55.5,-,-,-,-,-,-,-,40,-,-,-,-,-
2012-01-04,-,12.83,-,-,-,-,10.9,18.17,51.33,53.25,-,-,-,-,-,-,-,40,-,-,-,-,-
2012-01-05,-,13,-,-,-,-,11.33,19.33,51.33,54,-,-,-,-,-,-,-,38,-,-,-,-,-
2012-01-06,-,13,-,-,-,-,11.33,20.25,53.33,53.5,-,-,-,-,-,-,-,38,-,-,-,-,-
2012-01-07,-,12.67,-,-,-,-,11.17,21.8,56,53.75,-,-,-,-,-,-,-,40,-,-,-,-,-
2012-01-08,-,12.67,-,-,-,-,11.17,22.1,56,53,-,-,-,-,-,-,-,39,-,-,-,-,-
2012-01-09,-,12.5,-,-,-,-,10.4,22.6,53,55,-,-,-,-,-,-,-,38,-,-,-,-,-
2012-01-10,-,12.67,-,-,-,-,11.17,22.6,56.33,54.5,-,-,-,-,-,-,-,39,-,-,-,-,-
2012-01-11,-,12.33,-,-,-,-,11.17,22.6,57.67,57.5,-,-,-,-,-,-,-,38,-,-,-,-,-
2012-01-12,-,12.5,-,-,-,-,10.92,22,57.67,58,-,-,-,-,-,-,-,36.5,-,-,-,-,-
2012-01-13,-,12.5,-,-,-,-,10.75,21.86,58.67,56,-,-,-,-,-,-,-,36,-,-,-,-,-
2012-01-14,-,12.33,-,-,-,-,10.75,22.02,56.67,55.75,-,-,-,-,-,-,-,36.67,-,-,-,-,-
2012-01-15,-,12.33,-,-,-,-,10.75,21.8,57.67,54.75,-,-,-,-,-,-,-,37.33,-,-,-,-,-
2012-01-16,-,12.33,-,-,-,-,10.5,22,52.5,58.67,-,-,-,-,-,-,-,36.5,-,-,-,-,-
2012-01-17,-,12.33,-,-,-,-,10.83,21.7,61,56.5,-,-,-,-,-,-,-,41.33,-,-,-,-,-
2012-01-18,-,12.67,-,-,-,-,10.83,22,66.67,58,-,-,-,-,-,-,-,45.33,-,-,-,-,-
2012-01-19,-,12.67,-,-,-,-,11,22,69.33,60,-,-,-,-,-,-,-,46.67,-,-,-,-,-
2012-01-20,-,13,-,-,-,-,11,22.4,67.67,61.5,-,-,-,-,-,-,-,48.67,-,-,-,-,-
2012-01-21,-,12.83,-,-,-,-,11.5,22.6,67.67,56.5,-,-,-,-,-,-,-,57,-,-,-,-,-
2012-01-22,-,12.5,-,-,-,-,11.2,22.8,68.33,53,-,-,-,-,-,-,-,47,-,-,-,-,-
2012-01-28,-,12.17,-,-,-,-,11.67,21.92,62.67,33.25,-,-,-,-,-,-,-,28,-,-,-,-,-
2012-01-29,-,12.33,-,-,-,-,11.67,21.8,60,33.25,-,-,-,-,-,-,-,28.5,-,-,-,-,-
2012-01-30,-,12.67,-,-,-,-,11.33,22.26,60,31.25,-,-,-,-,-,-,-,28,-,-,-,-,-
2012-01-31,-,12.67,-,-,-,-,11,21.5,51.5,20,-,-,-,-,-,-,-,25,-,-,-,-,-
2012-02-01,-,12.33,-,-,-,-,10.5,-,56.67,28,-,-,-,-,-,-,-,27.67,-,-,-,-,-
2012-02-02,-,12.33,-,-,-,-,10.13,-,56.67,27.25,-,-,-,-,-,-,-,26,-,-,-,-,-
2012-02-03,-,12.33,-,-,-,-,10.13,-,54.33,25.25,-,-,-,-,-,-,-,22.67,-,-,-,-,-
2012-02-04,-,12.33,-,-,-,-,10.13,-,52,25,-,-,-,-,-,-,-,21,-,-,-,-,-
2012-02-05,-,12.33,-,-,-,-,10,-,52,24.25,-,-,-,-,-,-,-,21,-,-,-,-,-
2012-02-06,-,12.33,-,-,-,-,9.67,-,56.33,27.67,-,-,-,-,-,-,-,25,-,-,-,-,-
2012-02-07,-,12.5,-,-,-,-,9.5,-,52,18,-,-,-,-,-,-,-,17.5,-,-,-,-,-
2012-02-08,-,12.67,-,-,-,-,10,-,51,17,-,-,-,-,-,-,-,15,-,-,-,-,-
2012-02-09,-,12.5,-,-,-,-,9.88,-,56,27.25,-,-,-,-,-,-,-,23.33,-,-,-,-,-
2012-02-10,-,12.5,-,-,-,-,9.75,-,52.67,28.25,-,-,-,-,-,-,-,30,-,-,-,-,-
2012-02-11,-,12.33,-,-,-,-,9.5,-,54.67,30.67,-,-,-,-,-,-,-,30,-,-,-,-,-
2012-02-12,-,12.33,-,-,-,-,9.5,-,53.33,28.67,-,-,-,-,-,-,-,28.5,-,-,-,-,-
2012-02-13,-,12.17,-,-,-,-,9.67,-,52.5,20,-,-,-,-,-,-,-,30,-,-,-,-,-
2012-02-14,-,12.33,-,-,-,-,9.33,-,51.67,28.5,-,-,-,-,-,-,-,21.33,-,-,-,-,-
2012-02-15,-,12.5,-,-,-,-,9.33,-,51.67,27,-,-,-,-,-,-,-,20.67,-,-,-,-,-
2012-02-16,-,12.5,-,-,-,-,9.33,-,50,26,-,-,-,-,-,-,-,20,-,-,-,-,-
2012-02-17,-,12.5,-,-,-,-,10,-,50.67,30.5,-,-,-,-,-,-,-,21,-,-,-,-,-
2012-02-18,-,12.5,-,-,-,-,11.67,-,53,35,-,-,-,-,-,-,-,27,-,-,-,-,-
2012-02-19,-,12.5,-,-,-,-,11.67,-,54.33,38,-,-,-,-,-,-,-,27,-,-,-,-,-
2012-02-20,-,12.5,-,-,-,-,10.33,-,55.67,35,-,-,-,-,-,-,-,30,-,-,-,-,-
2012-02-21,-,12.33,-,-,-,-,10.33,-,57.33,39.5,-,-,-,-,-,-,-,30,-,-,-,-,-
2012-02-22,-,12.67,-,-,-,-,10.67,-,54.67,43.25,-,-,-,-,-,-,-,26.33,-,-,-,-,-
2012-02-23,-,12.67,-,-,-,-,10.67,-,54,43.75,-,-,-,-,-,-,-,25.67,-,-,-,-,-
2012-02-24,-,13,-,-,-,-,10.67,-,52.67,39.75,-,-,-,-,-,-,-,23.67,-,-,-,-,-
2012-02-25,-,13.83,-,-,-,-,10.67,-,51.67,39.67,-,-,-,-,-,-,-,24.33,-,-,-,-,-
2012-02-26,-,14,-,-,-,-,12.5,-,51,39.33,-,-,-,-,-,-,-,30,-,-,-,-,-
2012-02-27,-,14,-,-,-,-,12.5,-,46.5,40.5,-,-,-,-,-,-,-,32,-,-,-,-,-
2012-02-28,-,14.67,-,-,-,-,13.5,-,53.33,39.67,-,-,-,-,-,-,-,31,-,-,-,-,-
2012-02-29,-,14.67,-,-,-,-,13.5,-,52.67,40.67,-,-,-,-,-,-,-,31,-,-,-,-,-
2012-03-01,8.9,15.83,-,44,-,-,12,-,53,-,-,-,-,-,-,-,-,34,-,-,-,-,-
2012-03-02,7.1,16.67,-,43.5,-,-,12,-,53.33,-,-,-,-,-,-,-,-,27.23,-,-,-,-,-
2012-03-03,7.1,17.33,-,43.5,-,-,11.67,-,53.67,-,-,-,-,-,-,-,-,27.23,-,-,-,-,-
2012-03-04,7.1,17.6,-,44.5,-,-,12,-,54.67,-,-,-,-,-,-,-,-,33.5,-,-,-,-,-
2012-03-05,7.1,17.6,-,44.5,-,-,12.33,-,54.67,-,-,-,-,-,-,-,-,35,-,-,-,-,-
2012-03-06,8,19,-,46,-,-,13,-,56.33,-,-,-,-,-,-,-,-,26.9,-,-,-,-,-
2012-03-07,9.5,19.67,-,44.5,-,-,13.67,-,55.33,-,-,-,-,-,-,-,-,27.57,-,-,-,-,-
2012-03-08,9.67,20,-,44.5,-,-,13.67,-,54.67,-,-,-,-,-,-,-,-,26.23,-,-,-,-,-
2012-03-09,10.03,20.5,-,46,-,-,13.33,-,51.67,-,-,-,-,-,-,-,-,26.57,-,-,-,-,-
2012-03-10,10.45,21,-,46,-,-,14,-,52,-,-,-,-,-,-,-,-,27.67,-,-,-,-,-
2012-03-11,10.58,21.17,-,46,-,-,14.33,-,54.67,-,-,-,-,-,-,-,-,28.67,-,-,-,-,-
2012-03-12,10.58,21.83,-,46,-,-,14.33,-,52,-,-,-,-,-,-,-,-,35,-,-,-,-,-
2012-03-13,10.58,22,-,42.6,-,-,15,-,53,-,-,-,-,-,-,-,-,29,-,-,-,-,-
2012-03-14,10.33,22.17,-,42.6,-,-,15.33,-,51.33,-,-,-,-,-,-,-,-,29.67,-,-,-,-,-
